Local time in Cape Town (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
09.06.2018 23:00,14.3,763.4,767.5,1.1,82,Wind blowing from the south,4,,,20–30%., ,,,,19.1,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,11.2,,,,,,
09.06.2018 20:00,14.4,762.3,766.4,1.6,86,variable wind direction,1,3,,70 – 80%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,19.1,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,12.1,,,,,,
09.06.2018 17:00,16,760.7,764.8,1.3,78,Wind blowing from the west-southwest,2,4,,70 – 80%.,Shower(s) of rain. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,12.2,,,,,,
09.06.2018 14:00,18.7,759.4,763.5,-0.4,72,Wind blowing from the west-northwest,7,8,,60%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,13.6,0.4,6,,,,
09.06.2018 11:00,16.4,759.8,763.9,1.9,88,Wind blowing from the north-northwest,5,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",200-300,,,20,14.4,,,,,,
09.06.2018 08:00,14.8,757.9,762.1,0,91,Wind blowing from the north-northwest,6,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Rain.,14.2,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,100-200,,,12,13.3,4,24,,,,
09.06.2018 05:00,15.6,757.9,762,0,85,Wind blowing from the north,7,12,,"90  or more, but not 100%",Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,10,13.1,,,,,,
09.06.2018 02:00,14.8,757.9,762.1,-0.9,90,Wind blowing from the north-northeast,6,9,,"90  or more, but not 100%","Rain, not freezing, intermittent, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,8,13.1,0.4,18,,,,
08.06.2018 23:00,14.3,758.8,762.9,0.3,91,Wind blowing from the north-west,4,6,,20–30%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",20–30%.,100-200,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,12.8,,,,,,
08.06.2018 20:00,14.4,758.5,762.6,-0.4,91,Wind blowing from the north-west,7,,,"90  or more, but not 100%", ,,,,18.9,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90  or more, but not 100%",50-100,,,20,13,,,,,,
08.06.2018 17:00,18.2,758.9,763,-1.1,74,Wind blowing from the north-west,3,4,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",70 – 80%.,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",20,13.4,,,,,,
08.06.2018 14:00,16.8,760,764.2,-2.2,82,variable wind direction,3,3,,"90  or more, but not 100%","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90  or more, but not 100%",200-300,,,8,13.7,,,,,,
08.06.2018 11:00,14.4,762.2,766.3,-0.2,93,variable wind direction,1,2,,100%.,Mist. ,Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,50-100,,,3,13.2,,,,,,
08.06.2018 08:00,13.6,762.4,766.6,0,94,variable wind direction,1,2,,100%.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,13.4,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,50-100,,,0.8,12.6,0.4,24,,,,
08.06.2018 05:00,13.6,762.4,766.5,-0.9,92,Wind blowing from the south-east,2,2,,100%.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ",Fog or ice fog or thick haze.,Rain.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,50-100,,,0.6,12.3,,,,,,
08.06.2018 02:00,13.9,763.3,767.5,-0.3,93,Wind blowing from the south-southeast,2,3,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,200-300,,,6,12.7,0.4,18,,,,
07.06.2018 23:00,15.7,763.6,767.7,0.2,87,Wind blowing from the west-northwest,4,6,,"90  or more, but not 100%", ,,,,18.9,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,20,13.5,,,,,,
07.06.2018 20:00,16.7,763.4,767.5,0.7,76,Wind blowing from the north-west,4,6,,"90  or more, but not 100%", ,,,,18.9,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,20,12.5,,,,,,
07.06.2018 17:00,17.2,762.7,766.8,0.6,74,Wind blowing from the north-west,4,6,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,20,12.4,,,,,,
07.06.2018 14:00,18.1,762.1,766.3,-0.6,69,Wind blowing from the north-west,6,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",20,12.2,,,,,,
07.06.2018 11:00,17.3,762.7,766.9,1.5,71,Wind blowing from the north-west,6,9,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",25,12,,,,,,
07.06.2018 08:00,14.4,761.2,765.4,,86,Wind blowing from the north-northwest,4,6,,60%., ,,,12.1,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",25,12.1,,,,,,
07.06.2018 02:00,16.3,759.3,763.4,0.2,53,Wind blowing from the north-west,8,9,,no clouds, ,,,,,,,,,,30,6.7,,,,,,
06.06.2018 23:00,16.7,759.1,763.3,-0.5,53,Wind blowing from the north,4,5,,no clouds, ,,,,,,,,,,30,6.9,,,,,,
06.06.2018 20:00,16.6,759.6,763.7,0,54,Wind blowing from the north,2,4,,no clouds, ,,,,24.8,,,,,,30,7.2,,,,,,
06.06.2018 17:00,22.7,759.6,763.6,-0.9,39,Wind blowing from the west-northwest,3,5,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.",Cirrostratus not progressively invading the sky and not entirely covering it.,30,8.1,,,,,,
06.06.2018 14:00,24,760.5,764.5,-0.4,30,Wind blowing from the west-northwest,6,9,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",40,5.4,,,,,,
06.06.2018 11:00,21.3,760.9,765,0.2,43,Wind blowing from the west-northwest,2,4,,no clouds, ,,,,,,,,,,30,8.1,,,,,,
06.06.2018 08:00,11.3,760.7,764.9,0.5,57,Wind blowing from the north-northeast,2,4,,no clouds, ,,,7.5,,,,,,,30,3,,,,,,
06.06.2018 05:00,9.8,760.2,764.4,-0.8,65,Wind blowing from the north-east,2,2,,no clouds, ,,,,,,,,,,20,3.5,,,,,,
06.06.2018 02:00,9.7,761,765.2,-0.8,67,Wind blowing from the north-east,2,3,,no clouds, ,,,,,,,,,,20,3.7,,,,,,
05.06.2018 23:00,9.5,761.8,766,-0.2,71,Wind blowing from the north-east,3,3,,no clouds, ,,,,,,,,,,20,4.5,,,,,,
05.06.2018 20:00,11.9,762,766.2,0,73,Wind blowing from the east,2,2,,no clouds, ,,,,23.1,,,,,,20,7.2,,,,,,
05.06.2018 17:00,19.9,762,766,-0.7,41,Wind blowing from the south-southeast,3,3,,no clouds, ,,,,,,,,,,20,6.1,,,,,,
05.06.2018 14:00,22.2,762.7,766.8,-1.4,37,Wind blowing from the east-southeast,2,,,no clouds, ,,,,,,,,,,30,6.7,,,,,,
05.06.2018 11:00,16.7,764.1,768.2,0.2,53,Wind blowing from the east-southeast,2,3,,no clouds, ,,,,,,,,,,20,6.9,,,,,,
05.06.2018 08:00,3.2,763.9,768.3,-0.5,84,Wind blowing from the south-east,2,2,,no clouds, ,,,3.2,,,,,,,20,0.8,,,,,,
05.06.2018 05:00,4.9,764.4,768.7,-0.9,88,Wind blowing from the east-southeast,1,2,,no clouds, ,,,,,,,,,,20,3.1,,,,,,
05.06.2018 02:00,6.7,765.3,769.6,-0.8,90,Wind blowing from the north-east,3,4,,no clouds, ,,,,,,,,,,20,5.2,,,,,,
04.06.2018 23:00,8,766.1,770.4,-0.4,86,Wind blowing from the north,2,3,,no clouds, ,,,,18.4,,,,,,20,5.8,,,,,,
04.06.2018 20:00,13.5,766.5,770.7,-0.4,65,Wind blowing from the west-southwest,2,3,,no clouds, ,,,,18.4,,,,,,30,7.1,,,,,,
04.06.2018 17:00,15.9,766.9,771.1,-0.6,53,Wind blowing from the south,3,4,,no clouds, ,,,,,,,,,,30,6.4,,,,,,
04.06.2018 14:00,17.7,767.5,771.7,-1.4,36,Wind blowing from the south-southeast,3,3,,no clouds, ,,,,,,,,,,30,2.4,,,,,,
04.06.2018 11:00,14.9,768.9,773.1,0.4,51,variable wind direction,1,2,,no clouds, ,,,,,,,,,,30,4.8,,,,,,
04.06.2018 08:00,4.3,768.5,772.9,0.4,85,Wind blowing from the north-northeast,2,3,,no clouds, ,,,4,,,,,,,20,1.9,,,,,,
04.06.2018 05:00,5.1,768.1,772.5,-0.9,85,variable wind direction,1,2,,no clouds, ,,,,,,,,,,20,2.7,,,,,,
04.06.2018 02:00,6.6,769,773.4,-0.3,85,variable wind direction,1,3,,no clouds, ,,,,,,,,,,20,4.3,,,,,,
03.06.2018 23:00,9.2,769.3,773.6,-0.4,70,Wind blowing from the south,2,3,,no clouds, ,,,,16.2,,,,,,20,4,,,,,,
03.06.2018 20:00,12,769.7,773.9,0.9,65,Wind blowing from the south,5,7,,no clouds, ,,,,16.2,,,,,,25,5.6,,,,,,
03.06.2018 17:00,14.1,768.8,773,0.1,51,Wind blowing from the south-southeast,8,9,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",25,4.1,,,,,,
03.06.2018 14:00,15.7,768.7,772.9,-0.5,42,Wind blowing from the south-southeast,6,8,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,2.9,,,,,,
03.06.2018 11:00,14.5,769.2,773.4,1.7,52,Wind blowing from the south-east,7,9,,"10%  or less, but not 0", ,,,11.7,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,4.8,,,,,,
03.06.2018 08:00,10.5,767.5,772.1,,75,Wind blowing from the south-southeast,4,5,,20–30%., ,,,10.4,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,6.2,8,24,,,,
03.06.2018 02:00,12.1,764.7,768.9,1.1,91,Wind blowing from the north-east,1,,,50%.,"Rain, not freezing, intermittent, slight at time of observation. ",Rain.,Rain.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,10.7,8,18,,,,
02.06.2018 23:00,12.9,763.6,767.8,,89,Wind blowing from the south,2,3,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",1000-1500,,,20,11.1,,,,,,
02.06.2018 17:00,17,760.2,764.2,0.8,71,Wind blowing from the north-west,11,17,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,11.7,,,,,,
02.06.2018 14:00,16.7,759.4,763.6,-0.6,71,Wind blowing from the north-west,13,17,,70 – 80%.,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,11.4,,,,,,
02.06.2018 11:00,16.4,760,764.1,0.6,71,Wind blowing from the north-northwest,10,13,,50%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,13.8,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,11,,,,,,
02.06.2018 08:00,13.7,759.4,763.6,0.6,75,Wind blowing from the north-northwest,8,14,,50%., ,,,10.9,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,9.3,Trace of precipitation,24,,,,
02.06.2018 05:00,14.3,758.8,762.9,-0.4,66,Wind blowing from the north-northwest,8,9,,70 – 80%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,8,,,,,,
02.06.2018 02:00,13.8,759.2,763.3,-1.2,67,Wind blowing from the north,9,13,,60%., ,,,,,,,1500-2000,,,20,7.7,,,,,,
01.06.2018 23:00,12.5,760.4,764.6,0.2,73,Wind blowing from the north,4,6,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,7.7,,,,,,
01.06.2018 20:00,12.7,760.2,764.3,0.5,69,Wind blowing from the north-northwest,4,5,,20–30%., ,,,,17.2,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,7.2,,,,,,
01.06.2018 17:00,15.2,759.7,763.9,0.5,57,Wind blowing from the west-northwest,5,7,,40%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,6.6,,,,,,
01.06.2018 14:00,17,759.2,763.6,-0.1,51,Wind blowing from the west-northwest,7,10,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,6.8,,,,,,
01.06.2018 11:00,15.5,759.3,763.4,2.6,57,Wind blowing from the west-southwest,7,8,,50%.,Clouds generally dissolving or becoming less developed. ,Rain.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,6.9,,,,,,
01.06.2018 08:00,13.9,756.7,760.8,3.5,67,Wind blowing from the west,3,5,,70 – 80%.,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,12.8,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,7.8,30,24,,,,
01.06.2018 05:00,15.5,753.2,757.3,1.3,66,Wind blowing from the west,12,19,,70 – 80%.,"Rain, not freezing, intermittent, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15,9.1,,,,,,
01.06.2018 02:00,14,751.9,756.1,-0.3,93,Wind blowing from the north-west,11,17,,"90  or more, but not 100%",Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,7,12.8,23,18,,,,
31.05.2018 23:00,15.2,752.2,756.3,-1.5,80,Wind blowing from the north-northwest,10,20,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,11.7,,,,,,
31.05.2018 20:00,14.7,753.7,757.6,-1.5,82,Wind blowing from the north,15,21,,20–30%.,Clouds generally dissolving or becoming less developed. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,17.1,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",25,11.6,0.8,12,,,,
31.05.2018 17:00,15.4,755.2,759.1,-0.1,79,Wind blowing from the north,11,17,,"90  or more, but not 100%",Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,20,11.8,,,,,,
31.05.2018 14:00,16.9,755.3,759.2,-1.5,74,Wind blowing from the north-northwest,12,17,,"90  or more, but not 100%",State of sky on the whole unchanged. ,Rain.,Drizzle.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,20,12.3,0.4,6,,,,
31.05.2018 11:00,14.3,756.8,760.9,-0.5,85,Wind blowing from the north,8,12,,70 – 80%.,Haze. ,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,11.8,,,,,,
31.05.2018 08:00,13.4,757.3,761.5,-0.6,84,Wind blowing from the north,8,11,,"90  or more, but not 100%","Rain, not freezing, intermittent, slight at time of observation. ",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,12.9,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,1.5,10.7,1,24,,,,
31.05.2018 05:00,13.9,757.9,762,-0.3,81,Wind blowing from the north,6,8,,"90  or more, but not 100%","Rain, not freezing, intermittent, slight at time of observation. ",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,12,10.7,,,,,,
31.05.2018 02:00,13.5,758.2,762.3,-0.3,85,Wind blowing from the north,6,8,,70 – 80%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,11,0.8,18,,,,
30.05.2018 23:00,14.3,758.5,762.7,0.3,78,Wind blowing from the north-northeast,6,8,,70 – 80%., ,,,,17,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,10.4,,,,,,
30.05.2018 20:00,14.7,758.2,762.3,0.8,79,Wind blowing from the north,4,6,,70 – 80%., ,,,,17,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,11,,,,,,
30.05.2018 17:00,15.4,757.4,761.5,-0.4,68,Wind blowing from the north-west,4,10,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,9.4,,,,,,
30.05.2018 14:00,15,757.8,761.9,-0.9,76,Wind blowing from the west-northwest,8,10,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,20,10.8,,,,,,
30.05.2018 11:00,15.6,758.7,762.8,-0.4,70,Wind blowing from the west-northwest,4,5,,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%.,2000-2500,Altocumulus translucidus at a single level.,Cirrostratus not progressively invading the sky and not entirely covering it.,20,10.2,,,,,,
30.05.2018 08:00,9.9,759.1,763.3,-0.3,88,Wind blowing from the east,2,,,70 – 80%., ,,,8.7,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.",Cirrostratus not progressively invading the sky and not entirely covering it.,20,7.9,,,,,,
30.05.2018 05:00,10,759.4,763.6,-1.2,88,Wind blowing from the north-east,4,6,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.",10,8,,,,,,
30.05.2018 02:00,9.2,760.6,764.8,-1.4,90,Wind blowing from the north-east,2,4,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,7.6,,,,,,
29.05.2018 23:00,10,762,766.2,0.2,86,Wind blowing from the north-east,2,3,,40%., ,,,,17.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20,7.8,,,,,,
29.05.2018 20:00,13.5,761.8,765.9,0.3,73,Wind blowing from the north-northwest,3,4,,no clouds, ,,,,17.6,,,,,,20,8.8,,,,,,
29.05.2018 17:00,16.2,761.5,765.6,-0.3,63,Wind blowing from the west-northwest,4,5,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,9.1,,,,,,
29.05.2018 14:00,16.5,761.8,765.9,-0.9,60,Wind blowing from the west-northwest,5,6,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,8.7,,,,,,
29.05.2018 11:00,14.9,762.7,766.8,1.5,79,Wind blowing from the north-west,4,7,,70 – 80%., ,,,11.3,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",20–30%.,300-600,Altocumulus cumulogenitus (or cumulonimbogenitus).,"No Cirrus, Cirrocumulus or Cirrostratus.",15,11.3,,,,,,
29.05.2018 08:00,11.5,761.2,765.4,0.7,92,Wind blowing from the north-east,3,5,,50%.,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,10.2,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,10.2,5,24,,,,
29.05.2018 05:00,11.4,760.5,764.5,0.6,93,Wind blowing from the north,1,2,,"90  or more, but not 100%","Rain, not freezing, intermittent, slight at time of observation. ",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",1000-1500,,,10,10.3,,,,,,
29.05.2018 02:00,13.9,759.9,763.9,0.8,78,Wind blowing from the west-northwest,1,2,,70 – 80%.,State of sky on the whole unchanged. ,Shower(s).,Rain.,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",25,10,5,18,,,,
28.05.2018 23:00,14.2,759.1,763.1,1.5,87,Wind blowing from the north-northwest,4,5,,50%.,Shower(s) of rain. ,Shower(s).,Rain.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,12,,,,,,
